filename,target
structure_0000.csv,38.736848
structure_0001.csv,39.146284
structure_0002.csv,99.406633
structure_0003.csv,61.071204
structure_0005.csv,38.723566
structure_0006.csv,138.341604
structure_0007.csv,328.929301
structure_0008.csv,272.729588
structure_0009.csv,149.353633
structure_0011.csv,193.171238
structure_0012.csv,116.603010
structure_0013.csv,93.497518
structure_0014.csv,164.688387
structure_0015.csv,120.304725
structure_0016.csv,43.867747
structure_0017.csv,121.115842
structure_0018.csv,71.489679
structure_0019.csv,207.076322
structure_0020.csv,79.317884
structure_0021.csv,19.567103
structure_0022.csv,82.275792
structure_0025.csv,68.058959
structure_0026.csv,13.533813
structure_0027.csv,113.180229
structure_0028.csv,32.409849
structure_0029.csv,299.385755
structure_0030.csv,56.141979
structure_0031.csv,279.369588
structure_0032.csv,190.993978
structure_0033.csv,163.558195
structure_0034.csv,177.743956
structure_0035.csv,111.777392
structure_0036.csv,76.933462
structure_0037.csv,243.978782
structure_0038.csv,24.243826
structure_0039.csv,58.394182
structure_0040.csv,28.627452
structure_0043.csv,104.160031
structure_0044.csv,195.021914
structure_0046.csv,145.832722
structure_0047.csv,148.520681
structure_0048.csv,57.011320
structure_0049.csv,117.425966
structure_0050.csv,196.633080
structure_0051.csv,151.467500
structure_0052.csv,73.324540
structure_0053.csv,52.665177
structure_0054.csv,27.463304
structure_0055.csv,229.869014
structure_0056.csv,26.932397
structure_0057.csv,167.275204
structure_0058.csv,18.028313
structure_0059.csv,236.418517
structure_0061.csv,58.433303
structure_0062.csv,52.779926
structure_0063.csv,43.339833
structure_0064.csv,217.191824
structure_0065.csv,79.072618
structure_0066.csv,212.794575
structure_0067.csv,109.314613
structure_0068.csv,169.484064
structure_0069.csv,134.674943
structure_0070.csv,169.968213
structure_0071.csv,32.973394
structure_0072.csv,286.984529
structure_0073.csv,81.155105
structure_0074.csv,136.309926
structure_0075.csv,283.475430
structure_0076.csv,48.826277
structure_0077.csv,183.889021
structure_0078.csv,44.658797
structure_0079.csv,40.403925
structure_0081.csv,189.173249
structure_0083.csv,77.243448
structure_0084.csv,119.686872
structure_0085.csv,154.033251
structure_0086.csv,69.050192
structure_0087.csv,154.605730
structure_0088.csv,205.327285
structure_0089.csv,295.803467
structure_0090.csv,33.496771
structure_0091.csv,152.835678
structure_0092.csv,207.075315
structure_0093.csv,175.475275
structure_0094.csv,335.522732
structure_0095.csv,99.820590
structure_0096.csv,83.103588
structure_0097.csv,115.909401
structure_0098.csv,32.674106
structure_0099.csv,118.202019
porous_structure_0000.csv,25.952003
porous_structure_0001.csv,8.995914
porous_structure_0002.csv,74.675224
porous_structure_0003.csv,21.649436
porous_structure_0005.csv,21.012613
porous_structure_0006.csv,79.507186
porous_structure_0007.csv,249.291919
porous_structure_0008.csv,166.592751
porous_structure_0009.csv,94.430901
porous_structure_0011.csv,120.252923
porous_structure_0012.csv,77.815563
porous_structure_0013.csv,55.835192
porous_structure_0014.csv,108.548594
porous_structure_0015.csv,81.762234
porous_structure_0016.csv,16.198684
porous_structure_0017.csv,85.045312
porous_structure_0018.csv,39.427745
porous_structure_0019.csv,148.722981
porous_structure_0020.csv,45.743971
porous_structure_0021.csv,12.746166
porous_structure_0022.csv,47.119813
porous_structure_0025.csv,46.368044
porous_structure_0026.csv,5.387613
porous_structure_0027.csv,9.528836
porous_structure_0028.csv,11.696312
porous_structure_0029.csv,244.641502
porous_structure_0030.csv,31.418176
porous_structure_0031.csv,181.240438
porous_structure_0032.csv,178.601609
porous_structure_0033.csv,100.888889
porous_structure_0034.csv,114.632889
porous_structure_0035.csv,10.785968
porous_structure_0036.csv,57.475588
porous_structure_0037.csv,174.314321
porous_structure_0038.csv,10.336258
porous_structure_0039.csv,27.273402
porous_structure_0040.csv,27.083748
porous_structure_0043.csv,21.218833
porous_structure_0044.csv,123.491291
porous_structure_0046.csv,83.437144
porous_structure_0047.csv,95.751883
porous_structure_0048.csv,35.273646
porous_structure_0049.csv,70.355434
porous_structure_0050.csv,118.129419
porous_structure_0051.csv,104.887070
porous_structure_0052.csv,9.718765
porous_structure_0053.csv,21.730072
porous_structure_0054.csv,13.348777
porous_structure_0055.csv,164.493610
porous_structure_0056.csv,22.734754
porous_structure_0057.csv,97.801112
porous_structure_0058.csv,6.197034
porous_structure_0059.csv,144.909793
porous_structure_0061.csv,38.333300
porous_structure_0062.csv,30.207815
porous_structure_0063.csv,25.371587
porous_structure_0064.csv,80.001844
porous_structure_0065.csv,25.397725
porous_structure_0066.csv,100.271264
porous_structure_0067.csv,63.596703
porous_structure_0068.csv,102.399096
porous_structure_0069.csv,24.885455
porous_structure_0070.csv,101.586062
porous_structure_0071.csv,14.743261
porous_structure_0072.csv,212.938150
porous_structure_0073.csv,37.876055
porous_structure_0074.csv,35.506135
porous_structure_0075.csv,220.292143
porous_structure_0076.csv,28.509848
porous_structure_0077.csv,124.790138
porous_structure_0078.csv,24.826679
porous_structure_0079.csv,20.420586
porous_structure_0081.csv,122.751091
porous_structure_0083.csv,39.716621
porous_structure_0084.csv,70.687139
porous_structure_0085.csv,106.065648
porous_structure_0086.csv,47.326370
porous_structure_0087.csv,95.962750
porous_structure_0088.csv,115.628749
porous_structure_0089.csv,192.473243
porous_structure_0090.csv,10.366604
porous_structure_0091.csv,77.950516
porous_structure_0092.csv,145.637628
porous_structure_0093.csv,81.678855
porous_structure_0094.csv,249.731150
porous_structure_0095.csv,67.484231
porous_structure_0096.csv,45.769965
porous_structure_0097.csv,77.663481
porous_structure_0098.csv,15.943237
porous_structure_0099.csv,75.980597
